0,ARC-000000,Salmon Specimen,Cleaned bone specimen,true
1,ARC-000001,Lion Claw,Preserved specimen stored in fluid jar,true
2,ARC-000002,Bear Femur,Egg sample in container,false
3,ARC-000003,Heron Egg,Fluid jar sample with tag,true
4,ARC-000004,Toad Sample,Full skeleton display,false
5,ARC-000005,Owl Wing,Tissue sample for genetics,true
6,ARC-000006,Beaver Skull,Cleaned bone specimen,true
7,ARC-000007,Lion Claw,Cleaned bone specimen,true
8,ARC-000008,Toad Sample,Loose bone fragment,false
9,ARC-000009,Fox Pelt,Cleaned bone specimen,false
10,ARC-000010,Eagle Feather,Full skeleton display,true
11,ARC-000011,Fox Pelt,Loose bone fragment,true
12,ARC-000012,Heron Egg,Taxidermy display specimen,false
13,ARC-000013,Salmon Specimen,Cleaned bone specimen,false
14,ARC-000014,Lion Claw,Taxidermy display specimen,true
15,ARC-000015,Eagle Feather,Loose bone fragment,true
16,ARC-000016,Fox Pelt,Egg sample in container,true
17,ARC-000017,Beaver Skull,Mounted pelt used for teaching,true
18,ARC-000018,Bear Femur,Fluid jar sample with tag,true
19,ARC-000019,Eagle Feather,Egg sample in container,false
20,ARC-000020,Eagle Feather,Partial remains specimen,false
21,ARC-000021,Heron Egg,Loose bone fragment,true
22,ARC-000022,Fox Pelt,Egg sample in container,true
23,ARC-000023,Salmon Specimen,Partial remains specimen,true
24,ARC-000024,Owl Wing,Mounted pelt used for teaching,true
25,ARC-000025,Bear Femur,Egg sample in container,true
26,ARC-000026,Wolf Skull,Cleaned bone specimen,true
27,ARC-000027,Salmon Specimen,Tissue sample for genetics,true
28,ARC-000028,Wolf Skull,Loose bone fragment,false
29,ARC-000029,Toad Sample,Taxidermy display specimen,true
30,ARC-000030,Salmon Specimen,Tissue sample for genetics,true
31,ARC-000031,Fox Pelt,Mounted pelt used for teaching,true
32,ARC-000032,Lion Claw,Egg sample in container,true
33,ARC-000033,Bear Femur,Egg sample in container,true
34,ARC-000034,Eagle Feather,Egg sample in container,true
35,ARC-000035,Owl Wing,Fluid jar sample with tag,true
36,ARC-000036,Toad Sample,Full skeleton display,true
37,ARC-000037,Toad Sample,Fluid jar sample with tag,false
38,ARC-000038,Beaver Skull,Tissue sample for genetics,true
39,ARC-000039,Owl Wing,Fluid jar sample with tag,true
40,ARC-000040,Beaver Skull,Full skeleton display,true
41,ARC-000041,Bear Femur,Fluid jar sample with tag,false
42,ARC-000042,Salmon Specimen,Loose bone fragment,false
43,ARC-000043,Salmon Specimen,Loose bone fragment,true
44,ARC-000044,Wolf Skull,Cleaned bone specimen,false
45,ARC-000045,Bear Femur,Full skeleton display,false
46,ARC-000046,Fox Pelt,Preserved specimen stored in fluid jar,true
47,ARC-000047,Lion Claw,Mounted pelt used for teaching,true
48,ARC-000048,Toad Sample,Full skeleton display,true
49,ARC-000049,Heron Egg,Taxidermy display specimen,true
50,ARC-000050,Beaver Skull,Full skeleton display,false
51,ARC-000051,Toad Sample,Fluid jar sample with tag,true
52,ARC-000052,Salmon Specimen,Mounted pelt used for teaching,true
53,ARC-000053,Toad Sample,Fluid jar sample with tag,false
54,ARC-000054,Lion Claw,Taxidermy display specimen,true
55,ARC-000055,Bear Femur,Partial remains specimen,false
56,ARC-000056,Heron Egg,Loose bone fragment,true
57,ARC-000057,Fox Pelt,Full skeleton display,false
58,ARC-000058,Beaver Skull,Taxidermy display specimen,true
59,ARC-000059,Toad Sample,Taxidermy display specimen,true
60,ARC-000060,Bear Femur,Mounted pelt used for teaching,true
61,ARC-000061,Fox Pelt,Tissue sample for genetics,true
62,ARC-000062,Beaver Skull,Partial remains specimen,true
63,ARC-000063,Bear Femur,Fluid jar sample with tag,false
64,ARC-000064,Fox Pelt,Partial remains specimen,true
65,ARC-000065,Toad Sample,Tissue sample for genetics,true
66,ARC-000066,Lion Claw,Egg sample in container,true
67,ARC-000067,Salmon Specimen,Cleaned bone specimen,true
68,ARC-000068,Fox Pelt,Loose bone fragment,true
69,ARC-000069,Lion Claw,Mounted pelt used for teaching,true
70,ARC-000070,Heron Egg,Preserved specimen stored in fluid jar,true
71,ARC-000071,Owl Wing,Cleaned bone specimen,true
72,ARC-000072,Lion Claw,Tissue sample for genetics,true
73,ARC-000073,Beaver Skull,Loose bone fragment,true
74,ARC-000074,Fox Pelt,Loose bone fragment,true
75,ARC-000075,Eagle Feather,Mounted pelt used for teaching,false
76,ARC-000076,Owl Wing,Egg sample in container,false
77,ARC-000077,Lion Claw,Cleaned bone specimen,true
78,ARC-000078,Wolf Skull,Cleaned bone specimen,true
79,ARC-000079,Toad Sample,Mounted pelt used for teaching,false
80,ARC-000080,Bear Femur,Preserved specimen stored in fluid jar,false
81,ARC-000081,Lion Claw,Cleaned bone specimen,false
82,ARC-000082,Toad Sample,Full skeleton display,false
83,ARC-000083,Eagle Feather,Taxidermy display specimen,true
84,ARC-000084,Salmon Specimen,Mounted pelt used for teaching,false
85,ARC-000085,Eagle Feather,Preserved specimen stored in fluid jar,false
86,ARC-000086,Lion Claw,Egg sample in container,false
87,ARC-000087,Bear Femur,Taxidermy display specimen,true
88,ARC-000088,Fox Pelt,Egg sample in container,true
89,ARC-000089,Wolf Skull,Fluid jar sample with tag,true
90,ARC-000090,Eagle Feather,Full skeleton display,true
91,ARC-000091,Lion Claw,Partial remains specimen,true
92,ARC-000092,Fox Pelt,Taxidermy display specimen,false
93,ARC-000093,Owl Wing,Preserved specimen stored in fluid jar,false
94,ARC-000094,Wolf Skull,Taxidermy display specimen,true
95,ARC-000095,Toad Sample,Full skeleton display,false
96,ARC-000096,Beaver Skull,Loose bone fragment,false
97,ARC-000097,Lion Claw,Mounted pelt used for teaching,true
98,ARC-000098,Lion Claw,Mounted pelt used for teaching,false
99,ARC-000099,Wolf Skull,Tissue sample for genetics,true
100,ARC-000100,Beaver Skull,Mounted pelt used for teaching,true
101,ARC-000101,Salmon Specimen,Loose bone fragment,true
102,ARC-000102,Heron Egg,Taxidermy display specimen,false
103,ARC-000103,Wolf Skull,Mounted pelt used for teaching,true
104,ARC-000104,Heron Egg,Tissue sample for genetics,true
105,ARC-000105,Fox Pelt,Loose bone fragment,true
106,ARC-000106,Lion Claw,Taxidermy display specimen,true
107,ARC-000107,Toad Sample,Egg sample in container,true
108,ARC-000108,Toad Sample,Tissue sample for genetics,true
109,ARC-000109,Fox Pelt,Fluid jar sample with tag,true
110,ARC-000110,Eagle Feather,Fluid jar sample with tag,true
111,ARC-000111,Eagle Feather,Taxidermy display specimen,false
112,ARC-000112,Fox Pelt,Partial remains specimen,false
113,ARC-000113,Eagle Feather,Mounted pelt used for teaching,true
114,ARC-000114,Beaver Skull,Full skeleton display,false
115,ARC-000115,Salmon Specimen,Tissue sample for genetics,true
116,ARC-000116,Salmon Specimen,Tissue sample for genetics,true
117,ARC-000117,Bear Femur,Taxidermy display specimen,true
118,ARC-000118,Owl Wing,Preserved specimen stored in fluid jar,false
119,ARC-000119,Bear Femur,Full skeleton display,false
120,ARC-000120,Bear Femur,Mounted pelt used for teaching,true
121,ARC-000121,Wolf Skull,Partial remains specimen,true
122,ARC-000122,Lion Claw,Loose bone fragment,true
123,ARC-000123,Bear Femur,Tissue sample for genetics,false
124,ARC-000124,Salmon Specimen,Taxidermy display specimen,true
125,ARC-000125,Eagle Feather,Tissue sample for genetics,false
126,ARC-000126,Lion Claw,Loose bone fragment,false
127,ARC-000127,Heron Egg,Fluid jar sample with tag,true
128,ARC-000128,Fox Pelt,Partial remains specimen,false
129,ARC-000129,Salmon Specimen,Cleaned bone specimen,true
130,ARC-000130,Beaver Skull,Partial remains specimen,true
131,ARC-000131,Owl Wing,Preserved specimen stored in fluid jar,true
132,ARC-000132,Toad Sample,Partial remains specimen,true
133,ARC-000133,Lion Claw,Fluid jar sample with tag,true
134,ARC-000134,Salmon Specimen,Egg sample in container,true
135,ARC-000135,Heron Egg,Tissue sample for genetics,true
136,ARC-000136,Salmon Specimen,Loose bone fragment,true
137,ARC-000137,Lion Claw,Cleaned bone specimen,true
138,ARC-000138,Eagle Feather,Preserved specimen stored in fluid jar,true
139,ARC-000139,Heron Egg,Tissue sample for genetics,true
140,ARC-000140,Owl Wing,Mounted pelt used for teaching,false
141,ARC-000141,Eagle Feather,Full skeleton display,false
142,ARC-000142,Lion Claw,Mounted pelt used for teaching,true
143,ARC-000143,Salmon Specimen,Fluid jar sample with tag,false
144,ARC-000144,Wolf Skull,Egg sample in container,true
145,ARC-000145,Owl Wing,Partial remains specimen,false
146,ARC-000146,Beaver Skull,Cleaned bone specimen,true
147,ARC-000147,Owl Wing,Tissue sample for genetics,true
148,ARC-000148,Lion Claw,Loose bone fragment,false
149,ARC-000149,Heron Egg,Mounted pelt used for teaching,false
150,ARC-000150,Owl Wing,Taxidermy display specimen,true
151,ARC-000151,Bear Femur,Tissue sample for genetics,false
152,ARC-000152,Salmon Specimen,Cleaned bone specimen,false
153,ARC-000153,Salmon Specimen,Loose bone fragment,true
154,ARC-000154,Owl Wing,Fluid jar sample with tag,true
155,ARC-000155,Beaver Skull,Preserved specimen stored in fluid jar,true
156,ARC-000156,Heron Egg,Fluid jar sample with tag,true
157,ARC-000157,Wolf Skull,Full skeleton display,true
158,ARC-000158,Owl Wing,Partial remains specimen,false
159,ARC-000159,Eagle Feather,Full skeleton display,false
160,ARC-000160,Owl Wing,Mounted pelt used for teaching,false
161,ARC-000161,Heron Egg,Egg sample in container,true
162,ARC-000162,Fox Pelt,Full skeleton display,true
163,ARC-000163,Eagle Feather,Partial remains specimen,true
164,ARC-000164,Bear Femur,Egg sample in container,true
165,ARC-000165,Wolf Skull,Egg sample in container,false
166,ARC-000166,Lion Claw,Full skeleton display,true
167,ARC-000167,Toad Sample,Mounted pelt used for teaching,false
168,ARC-000168,Wolf Skull,Loose bone fragment,true
169,ARC-000169,Lion Claw,Full skeleton display,false
170,ARC-000170,Fox Pelt,Fluid jar sample with tag,true
171,ARC-000171,Eagle Feather,Preserved specimen stored in fluid jar,true
172,ARC-000172,Wolf Skull,Preserved specimen stored in fluid jar,true
173,ARC-000173,Owl Wing,Preserved specimen stored in fluid jar,false
174,ARC-000174,Bear Femur,Cleaned bone specimen,true
175,ARC-000175,Beaver Skull,Partial remains specimen,true
176,ARC-000176,Fox Pelt,Cleaned bone specimen,true
177,ARC-000177,Lion Claw,Fluid jar sample with tag,false
178,ARC-000178,Eagle Feather,Preserved specimen stored in fluid jar,true
179,ARC-000179,Fox Pelt,Full skeleton display,false
180,ARC-000180,Salmon Specimen,Loose bone fragment,true
181,ARC-000181,Bear Femur,Mounted pelt used for teaching,true
182,ARC-000182,Fox Pelt,Full skeleton display,false
183,ARC-000183,Bear Femur,Tissue sample for genetics,true
184,ARC-000184,Heron Egg,Taxidermy display specimen,true
185,ARC-000185,Bear Femur,Fluid jar sample with tag,true
186,ARC-000186,Eagle Feather,Mounted pelt used for teaching,false
187,ARC-000187,Bear Femur,Full skeleton display,true
188,ARC-000188,Beaver Skull,Partial remains specimen,true
189,ARC-000189,Heron Egg,Tissue sample for genetics,true
190,ARC-000190,Salmon Specimen,Cleaned bone specimen,true
191,ARC-000191,Eagle Feather,Loose bone fragment,true
192,ARC-000192,Eagle Feather,Taxidermy display specimen,true
193,ARC-000193,Owl Wing,Fluid jar sample with tag,true
194,ARC-000194,Wolf Skull,Full skeleton display,true
195,ARC-000195,Heron Egg,Preserved specimen stored in fluid jar,true
196,ARC-000196,Fox Pelt,Cleaned bone specimen,true
197,ARC-000197,Bear Femur,Full skeleton display,false
198,ARC-000198,Owl Wing,Fluid jar sample with tag,true
199,ARC-000199,Salmon Specimen,Preserved specimen stored in fluid jar,true
200,ARC-000200,Beaver Skull,Fluid jar sample with tag,true
201,ARC-000201,Eagle Feather,Tissue sample for genetics,true
202,ARC-000202,Salmon Specimen,Preserved specimen stored in fluid jar,true
203,ARC-000203,Toad Sample,Mounted pelt used for teaching,true
204,ARC-000204,Wolf Skull,Taxidermy display specimen,true
205,ARC-000205,Heron Egg,Full skeleton display,false
206,ARC-000206,Bear Femur,Fluid jar sample with tag,true
207,ARC-000207,Eagle Feather,Tissue sample for genetics,false
208,ARC-000208,Eagle Feather,Mounted pelt used for teaching,true
209,ARC-000209,Fox Pelt,Egg sample in container,true
210,ARC-000210,Beaver Skull,Loose bone fragment,true
211,ARC-000211,Toad Sample,Loose bone fragment,true
212,ARC-000212,Salmon Specimen,Taxidermy display specimen,true
213,ARC-000213,Owl Wing,Loose bone fragment,false
214,ARC-000214,Salmon Specimen,Taxidermy display specimen,true
215,ARC-000215,Lion Claw,Full skeleton display,true
216,ARC-000216,Eagle Feather,Preserved specimen stored in fluid jar,true
217,ARC-000217,Wolf Skull,Partial remains specimen,true
218,ARC-000218,Heron Egg,Tissue sample for genetics,false
219,ARC-000219,Beaver Skull,Egg sample in container,true
220,ARC-000220,Bear Femur,Fluid jar sample with tag,false
221,ARC-000221,Beaver Skull,Taxidermy display specimen,true
222,ARC-000222,Heron Egg,Cleaned bone specimen,true
223,ARC-000223,Wolf Skull,Full skeleton display,true
224,ARC-000224,Heron Egg,Loose bone fragment,false
225,ARC-000225,Salmon Specimen,Full skeleton display,true
226,ARC-000226,Toad Sample,Tissue sample for genetics,false
227,ARC-000227,Beaver Skull,Partial remains specimen,true
228,ARC-000228,Wolf Skull,Partial remains specimen,true
229,ARC-000229,Eagle Feather,Taxidermy display specimen,false
230,ARC-000230,Bear Femur,Fluid jar sample with tag,true
231,ARC-000231,Wolf Skull,Taxidermy display specimen,true
232,ARC-000232,Lion Claw,Egg sample in container,false
233,ARC-000233,Heron Egg,Taxidermy display specimen,true
234,ARC-000234,Lion Claw,Mounted pelt used for teaching,true
