cat_num,enteredby,accn,guid_prefix,identifier_1_value,identifier_1_type,identifier_1_relationship,identifier_2_value,identifier_2_type,agent_1_name,agent_1_role,agent_2_name,agent_2_role,agent_3_name,agent_3_role,agent_4_name,agent_4_role,identification_1,identification_1_order,identification_1_attribute_type_1,identification_1_attribute_value_1,identification_1_agent_1,identification_1_date,identification_1_remark,locality_higher_geog,locality_specific,event_verbatim_locality,event_verbatim_date,event_began_date,event_ended_date,record_event_type,record_event_determiner,record_event_determined_date,record_event_verificationstatus,part_1_name,part_1_condition,part_1_count,part_1_disposition,part_1_remark,part_1_attribute_type_1,part_1_attribute_value_1
514,jessicatir,97,CRCM:Fish,97-105,institutional catalog number,self,,,A. E. Perry,collector,R. V. Johnson,collector,N. Hanley,collector,,,Anoplarchus purpurescens,1,nature of identification,unknown,A. E. Perry,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-20-Jun-1951,1951-06-19,1951-06-20,collection,A. E. Perry,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
515,jessicatir,97,CRCM:Fish,97-106,institutional catalog number,self,,,A. E. Perry,collector,R. V. Johnson,collector,N. Hanley,collector,,,Anoplarchus purpurescens,1,nature of identification,unknown,A. E. Perry,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-20-Jun-1951,1951-06-19,1951-06-20,collection,A. E. Perry,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
437,jessicatir,97,CRCM:Fish,97-107,institutional catalog number,self,,,A. E. Perry,collector,R. V. Johnson,collector,N. Hanley,collector,,,Anoplarchus purpurescens,1,nature of identification,unknown,A. E. Perry,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-20-Jun-1951,1951-06-19,1951-06-20,collection,A. E. Perry,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
516,jessicatir,97,CRCM:Fish,97-108,institutional catalog number,self,,,A. E. Perry,collector,R. V. Johnson,collector,N. Hanley,collector,,,Anoplarchus purpurescens,1,nature of identification,unknown,A. E. Perry,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-20-Jun-1951,1951-06-19,1951-06-20,collection,A. E. Perry,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
517,jessicatir,97,CRCM:Fish,97-109,institutional catalog number,self,,,A. E. Perry,collector,R. V. Johnson,collector,N. Hanley,collector,,,Anoplarchus purpurescens,1,nature of identification,unknown,A. E. Perry,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-20-Jun-1951,1951-06-19,1951-06-20,collection,A. E. Perry,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
518,jessicatir,97,CRCM:Fish,97-110,institutional catalog number,self,,,A. E. Perry,collector,R. V. Johnson,collector,N. Hanley,collector,,,Anoplarchus purpurescens,1,nature of identification,unknown,A. E. Perry,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-20-Jun-1951,1951-06-19,1951-06-20,collection,A. E. Perry,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
519,jessicatir,97,CRCM:Fish,97-111,institutional catalog number,self,,,A. E. Perry,collector,R. V. Johnson,collector,N. Hanley,collector,,,Anoplarchus purpurescens,1,nature of identification,unknown,A. E. Perry,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-20-Jun-1951,1951-06-19,1951-06-20,collection,A. E. Perry,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
521,jessicatir,97,CRCM:Fish,97-112,institutional catalog number,self,,,A. E. Perry,collector,R. V. Johnson,collector,N. Hanley,collector,,,Anoplarchus purpurescens,1,nature of identification,unknown,A. E. Perry,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-20-Jun-1951,1951-06-19,1951-06-20,collection,A. E. Perry,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
522,jessicatir,97,CRCM:Fish,97-113,institutional catalog number,self,,,A. E. Perry,collector,R. V. Johnson,collector,N. Hanley,collector,,,Anoplarchus purpurescens,1,nature of identification,unknown,A. E. Perry,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-20-Jun-1951,1951-06-19,1951-06-20,collection,A. E. Perry,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
523,jessicatir,97,CRCM:Fish,97-114,institutional catalog number,self,,,A. E. Perry,collector,R. V. Johnson,collector,N. Hanley,collector,,,Anoplarchus purpurescens,1,nature of identification,unknown,A. E. Perry,1951-06-20,,"United States, Washington, Skagit County",Cypress Island,"Cypress Island, Skagit Co., Washington",19-20-Jun-1951,1951-06-19,1951-06-20,collection,A. E. Perry,1951-06-20,,whole organism,unchecked,1,in collection,,preservation,ethanol
